ID,CALL,CN,TYPE
054B4E36,HB-2447,69,ASG-29e
054B51B5,HB-3342,Z2,Discus 2b
054B5222,HB-3451,ZD,Discus 2c
054B51C7,HB-3360,12F,LS-8 18m
054B5171,HB-3274,UB,Discus 2b
054B4E1A,HB-2419,PE,Discus 2c 18m
05DDEE9A,ZS-GIL,LI,JS1 Revelation
05DDEE1F,HB-1812,S5,Discus b
054B5176,HB3279,AI,Duo Discus
054B51D7,HB-3376,ZC,ASW-28
054B50F7,HB-3152,ZB,DG-800
054B4BC9,HB-1826,ZT,Discus
054B4D97,HB-2288,VZ,ASH-26e
054b5223,HB-3452,ZW,Discus 2c 18m

094B3A32, HB-WBA, DynAero MCR-01
094B26BD,HB-ORL,ORL,Piper PA-18 Super Cub
094B4DC9,HB-2338,Super Dimona,Diamond HK-36
